restaurant_name,city,location,cuisine,cost_for_two,rating,restaurant_url,region
Vega,Delhi NCR,"Hotel Alka Classic, New Delhi",North Indian,₹1700,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/vega-hotel-alka-classic-connaught-place-cp-110256?deal_types[]=postpaid,North India
Duty Free Vayu Bar,Delhi NCR,"Rajouri Garden, West Delhi","Cocktail Menu, Multicuisine",₹1500,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/duty-free-rajouri-garden-west-delhi-652816?deal_types[]=postpaid,North India
38 Barracks,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1100,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/38-barracks-connaught-place-cp-central-delhi-604748?deal_types[]=postpaid,North India
24/7 Restaurant,Delhi NCR,"The Lalit, New Delhi",Multicuisine,₹3000,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/24-7-restaurant-the-lalit-connaught-place-cp-110472?deal_types[]=postpaid,North India
"MIST, THE Park New Delhi",Delhi NCR,"The Park, New Delhi",Multicuisine,₹2500,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/mist-the-park-new-delhi-111071?deal_types[]=postpaid,North India
Karigari By Chef Harpal Singh Sokhi,Delhi NCR,"Janpath, Connaught Place (CP), Central Delhi",Multicuisine,₹1800,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/karigari-by-chef-harpal-singh-sokhi-janpath-connaught-place-cp-central-delhi-702886?deal_types[]=postpaid,North India
Xero Courtyard,Delhi NCR,"Janpath, Connaught Place (CP), Central Delhi",Multicuisine,₹1000,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/xero-courtyard-janpath-connaught-place-cp-central-delhi-687834?deal_types[]=postpaid,North India
Tamra,Delhi NCR,Shangri-La Eros New Delhi,Multicuisine,₹3000,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/tamra-shangri-la-s-eros-hotel-connaught-place-cp-121269?deal_types[]=postpaid,North India
Roasted,Delhi NCR,"Roseate House, New Delhi","Bakery, Cafe",₹1000,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/roasted-roseate-house-new-delhi-648369?deal_types[]=postpaid,North India
Baluchi,Delhi NCR,"The Lalit, New Delhi",North Indian,₹2500,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/baluchi-the-lalit-connaught-place-cp-110962?deal_types[]=postpaid,North India
Farzi Cafe,Delhi NCR,"Connaught Place (CP), Central Delhi",Modern Indian,₹1500,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/farzi-cafe-connaught-place-cp-central-delhi-600070?deal_types[]=postpaid,North India
The Great Kabab Factory,Delhi NCR,"Radisson Blu Marina, New Delhi","North Indian, Kababs",₹3304,4.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/the-great-kabab-factory-radisson-blu-marina-connaught-place-cp-110542?deal_types[]=postpaid,North India
OKO,Delhi NCR,"The Lalit, New Delhi",Pan Asian,₹3500,4.6,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/oko-the-lalit-new-delhi-657974?deal_types[]=postpaid,North India
QBA,Delhi NCR,"Connaught Place (CP), Central Delhi",Multicuisine,₹1500,4.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/qba-connaught-place-110031?deal_types[]=postpaid,North India
HarleQuin,Delhi NCR,"Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",₹1500,3.1,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/harlequin-connaught-place-cp-central-delhi-686486?deal_types[]=postpaid,North India
Longitude,Delhi NCR,"Le Meridien, New Delhi",Fast Food,₹2000,3.2,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/longitude-le-meridien-new-delhi-683766?deal_types[]=postpaid,North India
Eau De Monsoon,Delhi NCR,"Le Meridien, New Delhi",Modern Indian,₹4000,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/eau-de-monsoon-le-meridien-new-delhi-110843?deal_types[]=postpaid,North India
Chidyaghar Bar,Delhi NCR,"Roseate House, New Delhi",Multicuisine,₹3000,4.6,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/chidya-ghar-roseate-house-igi-airport-643566?deal_types[]=postpaid,North India
Dasaprakash,Delhi NCR,"Connaught Place (CP), Central Delhi",South Indian,₹800,4.4,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/dasaprakash-connaught-place-cp-central-delhi-682172?deal_types[]=postpaid,North India
The Beer Cafe - BIGGIE,Delhi NCR,"Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",₹1800,3.9,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/the-beer-cafe-biggie-connaught-place-119339?deal_types[]=postpaid,North India
The One,Delhi NCR,"Le Meridien, New Delhi",Multicuisine,₹3000,4.1,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/the-one-le-meridien-janpath-110705?deal_types[]=postpaid,North India
Biryani Blues,Delhi NCR,"Rajiv Chowk, Delhi NCR",Biryani,₹700,4.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/biryani-blues-rajiv-chowk-central-delhi-704912,North India
Parikrama The Revolving Restaurant,Delhi NCR,"Barakhamba Road, Central Delhi",Multicuisine,₹2000,4.5,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/parikrama-the-revolving-restaurant-barakhamba-road-central-delhi-705230?deal_types[]=postpaid,North India
Drama Delhi,Delhi NCR,"Janpath, Connaught Place (CP), Central Delhi","Indian, Multicuisine",₹1700,3.3,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/drama-delhi-janpath-connaught-place-cp-central-delhi-695369?deal_types[]=postpaid,North India
Berco's,Delhi NCR,"Connaught Place (CP), Central Delhi",Chinese,₹750,4.6,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/bercos-connaught-place-110063?deal_types[]=postpaid,North India
Ministry Of Beer,Delhi NCR,"Connaught Place (CP), Central Delhi","Cocktail Menu, Multicuisine",₹1500,4.1,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/ministry-of-beer-connaught-place-cp-central-delhi-644409?deal_types[]=postpaid,North India
Bikanervala,Delhi NCR,"Connaught Place (CP), Central Delhi",Indian,₹400,3.0,https://www.eazydiner.comhttps://www.eazydiner.com/delhi-ncr/bikanervala-connaught-place-119607,North India
